ID,geneName,ORF,pfam,organism,fullName,Entrez,EC,uniprot,KO,GO
Q9LYH0,At5g12050,At5g12050,,Arabidopsis thaliana,Protein BIG GRAIN 1-like D,,,Q9LYH0; Q8LAU6,,GO:0005886; GO:0060918; GO:0009734; GO:0007623; GO:0010929
Q9LYG9,MSL10,At5g12080,,Arabidopsis thaliana,Mechanosensitive ion channel protein 10,,,Q9LYG9; C0Z2U6,K22048,GO:0016021; GO:0005886; GO:0008381; GO:0006820; GO:0050982; GO:0010150; GO:0097468
Q9FMQ1,MXC9.6,At5g12100,,Arabidopsis thaliana,"Pentatricopeptide repeat-containing protein At5g12100, mitochondrial",,,Q9FMQ1,,GO:0005739; GO:0008270
Q84WM9,MXC9.7,At5g12110,GST C-terminal(14|65),Arabidopsis thaliana,Elongation factor 1-beta 1,,,Q84WM9; Q9SCX2; Q9SCX4,K03232,GO:0005829; GO:0005853; GO:0005886; GO:0009536; GO:0005085; GO:0003746; GO:0006414
A0A178U7T2,At5g12120,At5g12120,,Arabidopsis thaliana,UBA domain-containing protein,,,A0A178U7T2,,
F4JZG9,TERC,At5g12130,,Arabidopsis thaliana,"Thylakoid membrane protein TERC, chloroplastic",,,F4JZG9; Q8LCU5; Q8VY96; Q9FMP9,,GO:0009534; GO:0009535; GO:0016021; GO:0090351; GO:0010027
Q945Q1,CYS,At5g12140,Cystatin(11|99),Arabidopsis thaliana,Cysteine proteinase inhibitor 1,,,Q945Q1; O48589,,GO:0005829; GO:0005783; GO:0005886; GO:0009536; GO:0005774; GO:0004869; GO:0070417; GO:0034605; GO:0042631; GO:0006952; GO:0009611
Q9FMP8,ROPGAP6,At5g12150,PH(18|125),Arabidopsis thaliana,Rho GTPase-activating protein 6,,,Q9FMP8; Q0WM40,,GO:0005737; GO:0005886; GO:0005096; GO:0009920; GO:0007165
Q8RWL5,CLT3,At5g12170,,Arabidopsis thaliana,"Protein CLT3, chloroplastic",,,Q8RWL5; Q8LGC9; Q9FMP6; Q9FMP7,,GO:0031969; GO:0016021; GO:0009536; GO:0002229; GO:0034635; GO:0046686
Q9FMP5,CPK17,At5g12180,Protein kinase(73|331),Arabidopsis thaliana,Calcium-dependent protein kinase 17,,2.7.11.1,Q9FMP5; Q8VYE7,K13412,GO:0005737; GO:0005634; GO:0005886; GO:0005524; GO:0005509; GO:0009931; GO:0005516; GO:0004674; GO:0035556; GO:0018105; GO:0046777; GO:0080092
Q9FMP4,MXC9_15,At5g12190,RRM(19|94),Arabidopsis thaliana,Splicing factor 3B subunit 6-like protein,,,Q9FMP4,K12833,GO:0071013; GO:0071011; GO:0005689; GO:0005686; GO:0005684; GO:0003723; GO:0000398
Q9FMP3,PYD2,At5g12200,,Arabidopsis thaliana,Dihydropyrimidinase,,3.5.2.2,Q9FMP3,K01464,GO:0012505; GO:0005783; GO:0005794; GO:0009536; GO:0004157; GO:0046872; GO:0019483; GO:0043562; GO:0006208; GO:0006212
Q84J75,RGTB1,At5g12210,,Arabidopsis thaliana,Geranylgeranyl transferase type-2 subunit beta 1,,2.5.1.60,Q84J75; Q9FMP2,K05956,GO:0005829; GO:0005968; GO:0046872; GO:0004663; GO:0009555; GO:0018344; GO:0018342; GO:0048364
F4JZH9,MXC9.18,At5g12220,,Arabidopsis thaliana,Las1-like family protein,,,F4JZH9,,GO:0090730; GO:0030687; GO:0004519; GO:0000460; GO:0000470
Q9FMP0,MED19A,At5g12230,,Arabidopsis thaliana,Mediator of RNA polymerase II transcription subunit 19a,,,Q9FMP0; Q6NMK7,,GO:0016592; GO:0003712; GO:0008134; GO:0045944
Q3E9I4,MXC9,At5g12235,,Arabidopsis thaliana,CLAVATA3/ESR (CLE)-related protein 22,,,Q3E9I4,,GO:0048046; GO:0005615; GO:0033612; GO:0045168; GO:0010078; GO:0010087; GO:0048364
A0A178UNU4,At5g12240,At5g12240,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UNU4,,
P29514,TUB6,At5g12250,,Arabidopsis thaliana,Tubulin beta-6 chain,,,P29514,K07375,GO:0005737; GO:0005874; GO:0015630; GO:0005886; GO:0009536; GO:0005525; GO:0003924; GO:0005200; GO:0000226; GO:0007017; GO:0000278; GO:0009409
A0A178UIK9,AN1_LOCUS22027,AXX17_At5g11990,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UIK9,,
A0A178UBW5,At5g12270,At5g12270,Fe2OG dioxygenase(205|309),Arabidopsis thaliana,Fe2OG dioxygenase domain-containing protein,,,A0A178UBW5,,GO:0046872; GO:0016491
Q94CL4,At5g12280,At5g12280,SURP motif(175|217),Arabidopsis thaliana,SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein,,,Q94CL4,,GO:0071013; GO:0005686; GO:0071004; GO:0003723; GO:0006396
Q8GUK1,DGS1,At5g12290,,Arabidopsis thaliana,"Protein DGS1, mitochondrial",,,Q8GUK1; Q8GWL0; Q94CL3,K18158,GO:0016021; GO:0005741; GO:0005739; GO:0019375; GO:0050665
A0A178UJ87,At5g12300,At5g12300,C2(22|128),Arabidopsis thaliana,C2 domain-containing protein,,,A0A178UJ87,,
A0A178UC13,At5g12310,At5g12310,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UC13,,GO:0016021
Q8GWI1,At5g12320,At5g12320,,Arabidopsis thaliana,Ankyrin repeat family protein,,,Q8GWI1,,
Q94CK9,LRP1,At5g12330,,Arabidopsis thaliana,Protein LATERAL ROOT PRIMORDIUM 1,,,Q94CK9; F4K0X0; Q38848; Q3E9I3,,GO:0005634; GO:0003677; GO:0046872; GO:0042803; GO:0048653; GO:0009851; GO:0009734; GO:0009555; GO:0045893; GO:0009733; GO:0048364
A0MFF5,,A0MFF5,,Arabidopsis thaliana,Uncharacterized protein,,,A0MFF5,,
F4K0X5,At5g12350,At5g12350,FYVE-type(656|718),Arabidopsis thaliana,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein,,,F4K0X5,,GO:0005886; GO:0046872
Q94CK6,PANS2,At5g12360,,Arabidopsis thaliana,Protein PATRONUS 2,,,Q94CK6,,GO:0034090; GO:0007346
X5JA13,SEC10a,At5g12370,,Arabidopsis thaliana,Exocyst complex component SEC10a,,,X5JA13; Q56W60; Q8RVQ5; Q94CK5,K19984,GO:0005829; GO:0000145; GO:0070062; GO:0006887; GO:0006893
AT5G01935,AT5G01935,AT5G01935,,n/a,unknown,,,,,
Q94CK4,ANN8,At5g12380,,Arabidopsis thaliana,Annexin D8,,,Q94CK4,K17098,GO:0005737; GO:0005509; GO:0005544; GO:0009409; GO:0009408; GO:0009651; GO:0009414
Q94CK3,FIS1B,At5g12390,,Arabidopsis thaliana,Mitochondrial fission 1 protein B,,,Q94CK3,K17969,GO:0031307; GO:0005779; GO:0005741; GO:0005739; GO:0005777; GO:0000422; GO:0000266; GO:0016559
AT5G01945,AT5G01945,AT5G01945,,n/a,unknown,,,,,
F4K0Y2,At5g12400,At5g12400,DDT(412|472),Arabidopsis thaliana,PHD-finger and DNA binding domain-containing protein,,,F4K0Y2,,GO:0005634; GO:0003677; GO:0046872
A0A178UEJ3,AN1_LOCUS22042,AXX17_At5g12180,THUMP(253|359),Arabidopsis thaliana,THUMP domain-containing protein,,,A0A178UEJ3,K06963,GO:0003723; GO:0006400
A0A1P8BET2,At5g12420,At5g12420,WES_acyltransf(89|258),Arabidopsis thaliana,Diacylglycerol O-acyltransferase,,2.3.1.20,A0A1P8BET2,,GO:0016021; GO:0004144; GO:0019432
F4K0Y5,TPR16,At5g12430,TPR_REGION(652|719),Arabidopsis thaliana,Heat shock protein DnaJ with tetratricopeptide repeat-containing protein,,,F4K0Y5,K09527,GO:0009507
Q94CJ8,T2L20,At5g12440,RRM(357|433),Arabidopsis thaliana,Zinc finger CCCH domain-containing protein 55,,,Q94CJ8; Q8GS07,,GO:0003677; GO:0046872; GO:0003723
Q94CJ5,RER4,At5g12470,,Arabidopsis thaliana,"Protein RETICULATA-RELATED 4, chloroplastic",,,Q94CJ5; Q67YD5,,GO:0009507; GO:0009941; GO:0009706; GO:0016021; GO:0005739; GO:0009536; GO:0007275
Q38873,CPK7,At5g12480,Protein kinase(59|317),Arabidopsis thaliana,Calcium-dependent protein kinase 7,,2.7.11.1,Q38873; Q56XF6,K13412,GO:0005737; GO:0005634; GO:0005886; GO:0009536; GO:0005524; GO:0005509; GO:0009931; GO:0005516; GO:0035556; GO:0018105; GO:0046777
Q9LXV5,NFYA1,At5g12840,,Arabidopsis thaliana,Nuclear transcription factor Y subunit A-1,,,Q9LXV5; O23630,K08064,GO:0016602; GO:0005634; GO:0003700; GO:0000978; GO:0000976; GO:0009793; GO:0055046; GO:0048510; GO:0006355; GO:0048316; GO:0010262
Q9LXV4,At5g12850,At5g12850,,Arabidopsis thaliana,Zinc finger CCCH domain-containing protein 56,,,Q9LXV4; Q8L3W6,,GO:0005737; GO:0003677; GO:0003700; GO:0046872; GO:0006355
Q9LXV3,DIT1,At5g12860,,Arabidopsis thaliana,"Dicarboxylate transporter 1, chloroplastic",,,Q9LXV3; Q93Y83,,GO:0009507; GO:0009941; GO:0009706; GO:0009534; GO:0016021; GO:0005739; GO:0009536; GO:0015139; GO:0015140; GO:0015131; GO:0015742; GO:0019676; GO:0071423; GO:0015729; GO:0009624
Q9LXV2,MYB46,At5g12870,HTH myb-type 1(15|67),Arabidopsis thaliana,Transcription factor MYB46,,,Q9LXV2; Q9ZTE1,K09422,GO:0005634; GO:0003700; GO:0000976; GO:0050832; GO:0009834; GO:1901348; GO:0045893; GO:2000652
Q9LXV1,At5g12880,At5g12880,,Arabidopsis thaliana,At5g12880,,,Q9LXV1,,
Q9LXV0,UGT92A1,At5g12890,,Arabidopsis thaliana,UDP-glycosyltransferase 92A1,,2.4.1.-,Q9LXV0; Q8VZF9,,GO:0008194
Q9LXU9,IRKI,At5g12900,,Arabidopsis thaliana,IRK-interacting protein,,,Q9LXU9,,
Q9LXU8,At5g12910,At5g12910,,Arabidopsis thaliana,Histone H3-like 4,,,Q9LXU8,K11253,GO:0000786; GO:0005634; GO:0003677; GO:0046982
Q9LXU7,At5g12920,At5g12920,,Arabidopsis thaliana,Uncharacterized protein T24H18_100,,,Q9LXU7,,
Q9LXU6,At5g12930,At5g12930,,Arabidopsis thaliana,At5g12930,,,Q9LXU6,,
Q9LXU5,At5g12940,At5g12940,LRRNT_2(29|68),Arabidopsis thaliana,Leucine-rich repeat (LRR) family protein,,,Q9LXU5,,
Q9LXU4,At5g12950,At5g12950,,Arabidopsis thaliana,Proline-tRNA ligase (DUF1680),,,Q9LXU4,K09955,GO:0005773; GO:0016874
Q84W43,At5g12960,At5g12960,,Arabidopsis thaliana,Proline-tRNA ligase (DUF1680),,,Q84W43,K09955,GO:0046556; GO:0016874; GO:0046373
Q9LXU2,At5g12970,At5g12970,C2(42|122),Arabidopsis thaliana,Anthranilate phosphoribosyltransferase-like protein,,,Q9LXU2,,GO:0016021; GO:0009506; GO:0016757
A0A178VSV1,At5g12980,At5g12980,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178VSV1,,GO:0016021
Q9LXU0,CLE40,At5g12990,,Arabidopsis thaliana,CLAVATA3/ESR (CLE)-related protein 40,,,Q9LXU0,,GO:0048046; GO:0005615; GO:0033612; GO:0001708; GO:0045168; GO:0007275
Q9LXT9,CALS3,At5g13000,,Arabidopsis thaliana,Callose synthase 3,,2.4.1.34,Q9LXT9; F4K2E8,K11000,GO:0000148; GO:0016021; GO:0005886; GO:0003843; GO:0046527; GO:0006075; GO:0071555; GO:0008360
F4K2E9,CUV,At5g13010,Helicase ATP-binding(568|731),Arabidopsis thaliana,Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7,,3.6.4.13,F4K2E9; Q9LXT8,K12815,GO:0005634; GO:0005681; GO:0005524; GO:0003723; GO:0003724; GO:0009817; GO:0009793; GO:0010467; GO:0000398; GO:0031334; GO:0033120; GO:0031053; GO:0016246; GO:0008380; GO:0048364; GO:0048767; GO:0010051
F4K2F0,EML3,At5g13020,ENT(50|137),Arabidopsis thaliana,Protein EMSY-LIKE 3,,,F4K2F0; Q9LXT7,,GO:0005634; GO:0003682; GO:0031493; GO:0031491; GO:0050832; GO:0006357
A0A178U9F5,AN1_LOCUS22068,AXX17_At5g12450,,Arabidopsis thaliana,Selenoprotein O,,,A0A178U9F5,K08997,GO:0005524; GO:0046872; GO:0016779
Q8L539,5FCL,At5g13050,,Arabidopsis thaliana,"5-formyltetrahydrofolate cyclo-ligase, mitochondrial",,6.3.3.2,Q8L539; F4K2F3; Q84WD9; Q9FYA5,K01934,GO:0005739; GO:0030272; GO:0005524; GO:0006952; GO:0009396; GO:0035999; GO:0046653
B7U179,ABAP1,At5g13060,BTB(568|635),Arabidopsis thaliana,ARMADILLO BTB ARABIDOPSIS PROTEIN 1,,,B7U179; Q8RY88; Q9FYA4,,GO:0031261; GO:0005634; GO:0006261; GO:0008285; GO:2000104; GO:0016567; GO:0042127
Q9FYA3,T19L5.30,At5g13070,PRELI/MSF1(2|181),Arabidopsis thaliana,At5g13070,,,Q9FYA3,,GO:0005758; GO:1990050; GO:0015914
Q9FYA2,WRKY75,At5g13080,,Arabidopsis thaliana,Probable WRKY transcription factor 75,,,Q9FYA2,,GO:0005634; GO:0003700; GO:0000978; GO:0000976; GO:0010055; GO:0048527; GO:0000122; GO:0043620; GO:0032107
Q9FYA1,T19L5_50,At5g13090,,Arabidopsis thaliana,Uncharacterized protein T19L5_50,,,Q9FYA1,,
Q9FYA0,T19L5.60,At5g13100,,Arabidopsis thaliana,AT5g13100/T19L5_60,,,Q9FYA0,,
Q9FY99,G6PD2,At5g13110,,Arabidopsis thaliana,"Glucose-6-phosphate 1-dehydrogenase 2, chloroplastic",,1.1.1.49,Q9FY99; Q43728; Q8VZD6,K00036,GO:0009507; GO:0009570; GO:0004345; GO:0050661; GO:0006006; GO:0009051
Q9ASS6,PNSL5,At5g13120,PPIase cyclophilin-type(96|253),Arabidopsis thaliana,"Photosynthetic NDH subunit of lumenal location 5, chloroplastic",,5.2.1.8,Q9ASS6; F4K2G0; Q53YK9; Q8L9L5; Q9FY98,K03768,GO:0009507; GO:0009533; GO:0009534; GO:0009535; GO:0005737; GO:0009536; GO:0009579; GO:0031977; GO:0016018; GO:0003755; GO:0043424; GO:0010275; GO:0006457; GO:0000413
F4K2G3,CRH5,At5g13130,,Arabidopsis thaliana,Protein MICRORCHIDIA 5,,3.6.-.-,F4K2G3; F4K2G2; Q9FY97,,GO:0005634; GO:0005524; GO:0016887; GO:0003677; GO:0004519; GO:0016301; GO:0003723; GO:0006325; GO:0006281; GO:0031047; GO:0031935; GO:0006282
Q9FY96,At5g13140,At5g13140,,Arabidopsis thaliana,Pollen Ole e 1 allergen and extensin family protein,,,Q9FY96,,
Q9FY95,EXO70C1,At5g13150,,Arabidopsis thaliana,Exocyst subunit Exo70 family protein,,,Q9FY95,K07195,GO:0000145; GO:0005634; GO:0090406; GO:0006887; GO:0015031; GO:0080092
Q9FE20,PBS1,At5g13160,Protein kinase(86|363),Arabidopsis thaliana,Serine/threonine-protein kinase PBS1,,2.7.11.1,Q9FE20,K13430,GO:0005886; GO:0005524; GO:0004672; GO:0004674; GO:0006952; GO:0042742; GO:0009816; GO:0045087; GO:0002221; GO:0046777
Q9FY94,SAG29,At5g13170,MtN3/slv 1(12|99),Arabidopsis thaliana,Bidirectional sugar transporter SWEET15,,,Q9FY94; Q8LAG0; Q9XHG3,K15382,GO:0000139; GO:0016021; GO:0005887; GO:0008515; GO:0051119; GO:0008643; GO:0071215; GO:0071470; GO:0071446; GO:0009793; GO:0010150; GO:0010431; GO:0015770
AT5G01965,AT5G01965,AT5G01965,,n/a,unknown,,,,,
Q9FY93,VNI2,At5g13180,NAC(14|160),Arabidopsis thaliana,NAC domain-containing protein 83,,,Q9FY93,,GO:0005634; GO:0003677; GO:0003700; GO:0010150; GO:0045892; GO:0009737; GO:0009651; GO:0016032; GO:0010089
B3H435,At5g13181,At5g13181,,Arabidopsis thaliana,Uncharacterized protein,,,B3H435,,
Q94CD4,GILP,At5g13190,LITAF(33|113),Arabidopsis thaliana,GSH-induced LITAF domain protein,,,Q94CD4; A0A1P8BBV2; Q9LYV7,,GO:0005886; GO:0046872; GO:0071456; GO:0034051
Q9LYV6,T19L5.4,At5g13200,GRAM(143|221),Arabidopsis thaliana,GEM-like protein 5,,,Q9LYV6,,GO:0009536; GO:0009793; GO:0098755; GO:0010029; GO:0009845
Q9LYV5,T31B5.30,At5g13210,,Arabidopsis thaliana,AT5g13210/T31B5_30,,,Q9LYV5,,
Q93ZM9,JAS1,At5g13220,Tify(98|132),Arabidopsis thaliana,Protein TIFY 9,,,Q93ZM9; C0JPT8; Q3E9I1; Q3E9I2; Q9LYV4,K13464,GO:0005634; GO:0042803; GO:0006952; GO:0031347; GO:2000022; GO:0010112; GO:0009753; GO:0009611
AT5G02055,AT5G02055,AT5G02055,,n/a,unknown,,,,,
Q9LYV3,PCMP-H89,At5g13230,,Arabidopsis thaliana,"Putative pentatricopeptide repeat-containing protein At5g13230, mitochondrial",,,Q9LYV3,,GO:0005739; GO:0008270
Q8RXT1,T31B5.60,At5g13240,,Arabidopsis thaliana,Repressor of RNA polymerase III transcription,,,Q8RXT1,,GO:0005634; GO:0016480; GO:0072718; GO:0033194; GO:0072702
A0A1P8BFM9,T31B5.70,At5g13250,,Arabidopsis thaliana,RING finger protein,,,A0A1P8BFM9,,
AT5G02075,AT5G02075,AT5G02075,,n/a,unknown,,,,,
A0A178UMR8,AN1_LOCUS22091,AXX17_At5g12670,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UMR8,,GO:0000911
Q9LYU9,PCMP-H90,At5g13270,,Arabidopsis thaliana,"Pentatricopeptide repeat-containing protein At5g13270, chloroplastic",,,Q9LYU9,,GO:0009507; GO:0008270; GO:0009451
Q9LYU8,AK,At5g13280,ACT 1(405|483),Arabidopsis thaliana,"Aspartokinase 1, chloroplastic",,2.7.2.4,Q9LYU8; O23152,K00928,GO:0009570; GO:0005737; GO:0004072; GO:0005524; GO:0008652; GO:0009090; GO:0009089; GO:0009088
Q9LYU7,CRN,At5g13290,Protein kinase(118|401),Arabidopsis thaliana,Inactive leucine-rich repeat receptor-like protein kinase CORYNE,,,Q9LYU7; A8MRZ3; Q3E9I0,,GO:0016021; GO:0005886; GO:0005524; GO:0033612; GO:0005102; GO:0004675; GO:0006952; GO:0042742; GO:0002229; GO:0009909; GO:0010075
A0A1P8BF06,At5g13295,At5g13295,,Arabidopsis thaliana,Transmembrane protein,,,A0A1P8BF06,,GO:0016021
Q5W7F2,SFC,At5g13300,BAR(1|225),Arabidopsis thaliana,ADP-ribosylation factor GTPase-activating protein AGD3,,,Q5W7F2; Q0WNK6; Q9LYU6,K12489,GO:0005829; GO:0005794; GO:0005886; GO:0030140; GO:0005096; GO:0046872; GO:0035091; GO:0006897; GO:0009965; GO:0010087; GO:0009733; GO:0010051
A0A384LCV4,AN1_LOCUS22097,AXX17_At5g12730,,Arabidopsis thaliana,Protein TSSC4,,,A0A384LCV4,,
Q9LYU4,GDG1,At5g13320,,Arabidopsis thaliana,4-substituted benzoates-glutamate ligase GH3.12,,6.3.2.-,Q9LYU4,K14487,GO:0005737; GO:0052625; GO:0052628; GO:0016881; GO:0052626; GO:0052627; GO:0018874; GO:0071456; GO:0006952; GO:0042742; GO:0009816; GO:0016046; GO:0044419; GO:0009626; GO:0034052; GO:0010112; GO:0009863
Q9LYU3,ERF113,At5g13330,,Arabidopsis thaliana,Ethylene-responsive transcription factor ERF113,,,Q9LYU3,,GO:0005634; GO:0003700; GO:0000976; GO:0071497; GO:0009873; GO:0019760; GO:0045893; GO:0009737; GO:0009723; GO:0009753; GO:0009751; GO:0009651; GO:0009414
Q9LYU2,T22N19.3,At5g13340,,Arabidopsis thaliana,Arginine/glutamate-rich 1 protein,,,Q9LYU2,K13173,GO:0005739; GO:0005654
A0A384L4B7,At5g13350,At5g13350,,Arabidopsis thaliana,Uncharacterized protein,,,A0A384L4B7,K14487,
Q9LYS0,At5g13360,At5g13360,,Arabidopsis thaliana,Auxin reponsive-like protein,,,Q9LYS0,K14487,
Q8GZ29,GH3.15,At5g13370,,Arabidopsis thaliana,Indole-3-acetic acid-amido synthetase GH3.15,,6.3.2.-,Q8GZ29; Q9LYR9,K14487,GO:0005737; GO:0005829; GO:0016881; GO:0005524; GO:0070406; GO:0010249
A0A178UGQ6,AN1_LOCUS22105,AXX17_At5g12810,,Arabidopsis thaliana,NEF1,,,A0A178UGQ6,,GO:0016021
Q9LYR6,NPF6.1,At5g13400,,Arabidopsis thaliana,Protein NRT1/ PTR FAMILY 6.1,,,Q9LYR6,,GO:0016021; GO:0022857; GO:0006857
Q9LYR5,FKBP19,At5g13410,PPIase FKBP-type(135|254),Arabidopsis thaliana,"Peptidyl-prolyl cis-trans isomerase FKBP19, chloroplastic",,5.2.1.8,Q9LYR5; B9DFP6; Q682Z9,,GO:0009507; GO:0009543; GO:0009535; GO:0009579; GO:0031977; GO:0003755
Q9LYR4,TRA2,At5g13420,,Arabidopsis thaliana,Transaldolase,,2.2.1.2,Q9LYR4,K00616,GO:0009507; GO:0009570; GO:0005739; GO:0009536; GO:0004801; GO:0005975; GO:0009809; GO:0006098; GO:0046686; GO:0033587
Q94JS0,UCR1-1,At5g13430,Rieske(201|270),Arabidopsis thaliana,"Cytochrome b-c1 complex subunit Rieske-1, mitochondrial",,7.1.1.8,Q94JS0; Q42140; Q56Z01; Q56Z95; Q8LEK8; Q9LYR3,K00411,GO:0016021; GO:0031966; GO:0005750; GO:0005739; GO:0009536; GO:0051537; GO:0046872; GO:0016491; GO:0008121; GO:0006122
Q9LYR2,UCR1-2,At5g13440,Rieske(203|272),Arabidopsis thaliana,"Cytochrome b-c1 complex subunit Rieske-2, mitochondrial",,7.1.1.8,Q9LYR2; Q8LD84,K00411,GO:0016021; GO:0031966; GO:0005750; GO:0005739; GO:0009536; GO:0051537; GO:0046872; GO:0016491; GO:0008121; GO:0006122
Q96251,At5g13450,At5g13450,,Arabidopsis thaliana,"ATP synthase subunit O, mitochondrial",,,Q96251; Q93W68; Q9LYR1,K02137,GO:0009507; GO:0005753; GO:0005739; GO:0005886; GO:0009536; GO:0050897; GO:0046933; GO:0008270
A0A178UP10,AN1_LOCUS22112,AXX17_At5g12880,DUF4005(310|375),Arabidopsis thaliana,IQD11,,,A0A178UP10,,
A0A178UHD2,AN1_LOCUS22113,AXX17_At5g12890,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UHD2,,
Q6NLV4,FY,At5g13480,,Arabidopsis thaliana,Flowering time control protein FY,,,Q6NLV4; Q9FY53,K15542,GO:0005847; GO:0030154; GO:0009908; GO:0006378
P40941,AAC2,At5g13490,,Arabidopsis thaliana,"ADP,ATP carrier protein 2, mitochondrial",,,P40941; Q9FY52,K05863,GO:0009941; GO:0016021; GO:0005740; GO:0005743; GO:0005739; GO:0009536; GO:0005774; GO:0005471; GO:0005507; GO:0015865
Q9FY51,HPAT3,At5g13500,,Arabidopsis thaliana,Hydroxyproline O-arabinosyltransferase 3,,2.4.2.58,Q9FY51,K20782,GO:0005768; GO:0005794; GO:0000138; GO:0016021; GO:0005802; GO:1990585
AT5G02095,AT5G02095,AT5G02095,,n/a,unknown,,,,,
Q9FY50,RPL10,At5g13510,,Arabidopsis thaliana,"50S ribosomal protein L10, chloroplastic",,,Q9FY50,K02864,GO:0009507; GO:0009941; GO:0009570; GO:0022626; GO:0015934; GO:0009536; GO:0019843; GO:0003735; GO:0042254; GO:0006412
Q9FY49,LKHA4,At5g13520,,Arabidopsis thaliana,Leucine aminopeptidase,,3.4.11.-; 3.3.2.10,Q9FY49; Q56ZH4,K01254,GO:0005829; GO:0004301; GO:0008237; GO:0008270; GO:0019370
Q9FY48,KEG,At5g13530,Protein kinase(141|427),Arabidopsis thaliana,E3 ubiquitin-protein ligase KEG,,2.3.2.27; 2.7.11.1,Q9FY48; Q27YP2; Q9FY47,K16279,GO:0005769; GO:0005802; GO:0005524; GO:0046872; GO:0004672; GO:0043621; GO:0004674; GO:0004842; GO:0009738; GO:0006952; GO:0048589; GO:0016197; GO:0045324; GO:0009788; GO:0016567; GO:0009737; GO:0032940
Q9FY46,MSH12.1,At5g13550,STAS(518|642),Arabidopsis thaliana,"Sulfate transporter 4.1, chloroplastic",,,Q9FY46; O22123; Q8GW68; Q9FNB8,K18059,GO:0031969; GO:0005887; GO:0015301; GO:0008271; GO:0015293
Q8GY46,T6I14.4,At5g13560,,Arabidopsis thaliana,At5g13560,,,Q8GY46,,GO:0005829; GO:0009536
A0A1P8BCQ2,At5g13565,At5g13565,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8BCQ2,,
Q8GW31,TDT,At5g13570,Nudix hydrolase(106|234),Arabidopsis thaliana,mRNA-decapping enzyme subunit 2,,3.6.1.62,Q8GW31; F4K3Z9; Q9FNB6,K12613,GO:0005737; GO:0000932; GO:0005524; GO:0050072; GO:0000287; GO:0030145; GO:0003729; GO:0000290; GO:0031087; GO:0019048; GO:0006402; GO:0006397; GO:0009791; GO:0016441; GO:0010072
Q9FNB5,WBC6,At5g13580,ABC transporter(68|333),Arabidopsis thaliana,ABC transporter G family member 6,,,Q9FNB5,,GO:0016021; GO:0005524; GO:0016887; GO:0009624; GO:0010345
A0A1P8BES5,T6I14.8,At5g13590,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8BES5,,
Q9FNB2,RRL,At5g13610,,Arabidopsis thaliana,Protein RETARDED ROOT GROWTH-LIKE,,,Q9FNB2; Q8LCH7,,GO:0016021; GO:0031966; GO:0005739; GO:0009738; GO:0031930; GO:0007005
Q9FNB0,CCH,At5g13630,,Arabidopsis thaliana,"Magnesium-chelatase subunit ChlH, chloroplastic",,6.6.1.1,Q9FNB0; B9DI09; B9DI10; Q39049; Q8RY14,K03403,GO:0009507; GO:0009706; GO:0009570; GO:0010007; GO:0005739; GO:0009536; GO:0005524; GO:0016851; GO:0015995; GO:0015979
Q9FNA9,PDAT,At5g13640,,Arabidopsis thaliana,Phospholipid:diacylglycerol acyltransferase 1,,2.3.1.158,Q9FNA9; Q6YC80,K00679,GO:0005783; GO:0016021; GO:0009536; GO:0005773; GO:0008374; GO:0046027; GO:0006071; GO:0019432
F4K410,SVR3,At5g13650,tr-type G(80|275),Arabidopsis thaliana,"Putative elongation factor TypA-like SVR3, chloroplastic",,,F4K410; Q93Y02; Q9FNA8,K06207,GO:0009507; GO:1990904; GO:0005525; GO:0003924; GO:0003746; GO:0050821; GO:0009409; GO:0006364
A0A1P8BDH9,T6I14.6,At5g13660,,Arabidopsis thaliana,N-lysine methyltransferase,,,A0A1P8BDH9,,GO:0008168; GO:0032259
Q9FNA5,MSH12.14,At5g13670,EamA 1(18|149),Arabidopsis thaliana,WAT1-related protein At5g13670,,,Q9FNA5; Q84WF1,,GO:0016021; GO:0005886; GO:0022857
Q9FNA4,ELP1,At5g13680,,Arabidopsis thaliana,Elongator complex protein 1,,,Q9FNA4,K11373,GO:0005829; GO:0033588; GO:0005634; GO:0016746; GO:0000049; GO:0080178; GO:0009738; GO:0009734; GO:0051301; GO:0071215; GO:0048530; GO:0009965; GO:0031538; GO:0035265; GO:0008284; GO:0009787; GO:0010928; GO:2000024; GO:0009737; GO:0006979; GO:0006400; GO:0002926
Q9FNA3,CYL1,At5g13690,,Arabidopsis thaliana,Alpha-N-acetylglucosaminidase,,3.2.1.50,Q9FNA3,K01205,GO:0005773; GO:0004561; GO:0009793; GO:0008152; GO:0051781
