	class	0.7_0	0.2_0	0.5_0	0.1_0	1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF07523	-	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 3)	-0.040
PF04466	-	0.000	0.000	-0.035	0.000	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage terminase large subunit	-0.041
PF03965	+	0.094	0.000	0.007	0.000	0.192	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Penicillinase repressor	-0.043
PF06769	-	-0.075	0.000	0.000	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid encoded toxin Txe	-0.043
PF03971	-	0.000	0.000	0.000	0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Monomeric isocitrate dehydrogenase	-0.043
PF04023	-	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FeoA domain	-0.051
PF01867	-	-0.071	0.000	0.000	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR associated protein Cas1	-0.053
PF08706	-	0.000	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D5 N terminal like	-0.059
PF01470	-	-0.011	-0.034	-0.021	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyroglutamyl peptidase	-0.064
PF00675	-	0.000	0.000	-0.017	-0.063	0.000	-0.035	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	Insulinase (Peptidase family M16)	-0.066
PF02502	-	0.000	0.000	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribose/Galactose Isomerase	-0.068
PF01783	-	0.000	-0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal L32p protein family	-0.074
PF13552	+	0.039	0.000	0.020	0.000	0.227	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4127)	-0.075
PF05525	-	-0.056	-0.137	-0.035	-0.053	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Branched-chain amino acid transport protein	-0.082
PF14657	+	0.156	0.070	0.102	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AP2-like DNA-binding integrase domain	-0.084
PF04392	-	-0.176	-0.068	-0.102	0.000	-0.193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC transporter substrate binding protein	-0.098
PF13128	+	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3954)	-0.109
PF05014	-	-0.062	0.000	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside 2-deoxyribosyltransferase	-0.124
PF06152	-	-0.069	0.000	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage minor capsid protein 2	-0.165
PF08000	-	0.000	0.000	0.000	0.000	-0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial PH domain	-0.177
PF13495	-	0.000	0.000	0.000	0.000	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage integrase, N-terminal SAM-like domain	-0.184
PF05066	-	0.000	0.000	0.000	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HB1, ASXL, restriction endonuclease HTH domain	-0.231
PF02361	-	-0.341	-0.180	-0.357	-0.050	-0.353	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalt transport protein	-0.334
